Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637176658415373060	500	496	0	1	1000	0	0	0	0	0	0	0
637176658415473060	500	500	1	1	1000	7	0	1	1	1	1	0
637176658415573061	500	500	1	1	1000	18	0	1	0	1	0	0
637176658415673061	500	500	1	1	1000	29	0	1	1	0	1	1
637176658415773061	500	500	1	1	1000	35	0	1	1	1	0	0
637176658415873061	500	500	1	1	1000	46	0	1	0	1	1	1
637176658415973061	500	500	1	1	1000	58	0	1	0	1	0	1
637176658416073061	500	500	1	1	1000	64	0	1	1	0	1	0
637176658416173061	500	500	1	1	1000	75	0	1	1	1	0	1
637176658416273062	500	500	1	1	1000	86	0	1	0	1	1	0
637176658416373062	500	500	1	1	1000	97	0	1	1	0	0	0
637176658416473062	500	500	1	1	1000	108	0	1	0	0	1	1
637176658416573062	500	500	1	1	1000	114	0	1	0	1	0	0
637176658416673062	500	500	1	1	1000	125	0	1	1	0	1	1
637176658416773062	500	500	1	1	1000	136	0	1	0	0	0	1
637176658416873062	500	500	1	1	1000	147	0	1	1	1	0	0
637176658416973063	500	500	1	1	1000	154	0	1	1	1	1	1
637176658417073063	500	500	1	1	1000	164	0	1	0	0	1	0
637176658417173063	500	500	1	1	1000	176	0	1	0	0	0	0
637176658417273063	500	500	1	1	1000	187	0	1	1	1	0	1
637176658417373063	500	500	1	1	1000	198	0	1	0	1	1	0
637176658417473063	500	500	1	1	1000	204	0	1	0	0	1	1
637176658417573063	500	500	1	1	1000	215	0	1	1	1	1	0
637176658417673064	500	500	1	1	1000	226	0	1	0	1	0	0
637176658417773064	500	500	1	1	1000	237	0	1	1	0	1	1
637176658417873064	500	500	1	1	1000	248	0	1	0	0	0	1
637176658417973064	500	500	1	1	1000	254	0	1	0	1	1	1
637176658418073064	500	500	1	1	1000	265	0	1	1	0	0	1
637176658418173064	500	500	1	1	1000	276	0	1	0	0	1	0
637176658418273064	500	500	1	1	1000	288	0	1	0	0	0	0
637176658418373064	500	500	1	1	1000	299	0	1	1	1	0	1
637176658418473065	500	500	1	1	1000	304	0	1	0	0	0	0
637176658418573065	500	500	1	1	1000	316	0	1	0	0	1	1
637176658418673065	500	500	1	1	1000	327	0	1	1	1	1	0
